acid,SCN3,protein
PI587572B,,43
PI587846A,,35.1
PI587992A,,47.9
PI593975,,41.6
PI594834A,,44.2
PI602493,,49
PI603524,,46.2
PI605876A,,43.5
PI612721A,,39.8
PI157470,MS,45
PI230970,S,44.3
PI243526,S,43.9
PI398660,MS,46.9
PI398870,,43.6
PI399076,S,49.4
PI399110,S,47
PI407786B,S,44.3
PI407840,MS,47.6
PI408331,MS,46.9
PI424502,S,44.8
PI445843,S,46.6
PI476917,S,44.2
PI506719,S,46.3
PI506957,S,46
PI507042,S,45.2
PI507217,S,41.8
PI547709,,
PI567001A,,50.4
PI567032B,,46
PI567051,,
PI567083C,,42
PI567087C,,49
PI567132C,,50
PI578478A,,46.6
PI587814C,,43.1
PI587876,,47.1
PI593988,,47.1
PI594470C,,50.7
PI594835A,,46.6
PI594850,,
PI605892,,
PI628824,,
PI628856,,
PI159319,MS,42.1
PI187156,S,44.8
PI200450,MS,42.7
PI341245,S,
PI398219,S,49.6
PI398422,S,42.1
PI398614,S,51.2
PI398958,S,46
PI398968,S,46.7
PI399065,S,42.9
PI407834,S,49.5
PI407998D,S,52.4
PI416847,S,43.1
PI417211,S,41.6
PI417331,S,44.6
PI417374,S,49.2
PI417477,S,47.4
PI458241,S,44
PI476919,S,47.6
PI506781,S,46.2
PI506879,S,44.6
PI507000,S,43.2
PI507011,S,42.7
PI507048,S,45.7
PI507138,S,41
PI507270,S,41.5
PI518288,S,48.2
PI566993B,,48.9
PI567299B,MS,44.8
PI578332C,,39.7
PI587691,,45.8
PI587826,,44.4
PI587976C,,48.6
PI588037,,
PI594392,,43.5
PI594885B,,44.3
PI606415,,
PI157493,MS,49.1
PI181544,S,42.4
PI201423,S,44.5
PI340044,S,45.5
PI371607,S,44.1
PI407841,S,49.1
PI408336,S,48.1
PI417041,MS,46.2
PI417203,S,43.1
PI417289,S,44.6
PI423971D,,48
PI424341,MS,43.4
PI506604,S,43.4
PI507342,S,43.3
PI507444,S,43.9
PI548594,S,38.6
PI566986,,50
PI587598A,,43.8
PI587633C,,45.8
PI587839B,,43.8
PI593655,,40.5
PI594570B,,48.7
PI603500,,45.7
PI605884C,,48.2
PI103079,MS,45.5
PI157476,S,43.8
PI281896C,,
PI281908,S,
PI398506,S,44.2
PI398845,MS,43.1
PI398846,S,39.8
PI407800,S,48.9
PI408122,,43.2
PI408165,,44.4
PI408219,S,45.8
PI417099,S,49.5
PI476910,S,45.9
PI506926,S,43
PI506996,S,45.4
PI507032,,45.1
PI507034,S,42
PI507249,S,44.6
PI507327,S,40.8
PI547757,,
PI547814,,
PI578328B,,40.9
PI587627B,,46.1
PI587630A,,47.3
PI587997B,,45.9
PI594149,,47.8
PI594605A,,47.7
PI594722,,
PI594741A,,
PI605781D,,50.6
PI605877F,,46.1
PI606435,,46.6
PI615436,,
PI632661A,,
PI632935A,,
PI639633A,,
PI159096,S,43.6
PI200456,S,45.9
PI200503,MS,44.2
PI200544,S,45.2
PI307882C,,
PI398302,S,42.3
PI398418,MS,43.4
PI398466,MS,46.7
PI398826,S,43.8
PI407828,S,
PI407899,MS,44.8
PI407986B,S,46.3
PI408169C,MS,46.4
PI408340,S,43.1
PI416876,S,43.5
PI423774,S,47.7
PI424156C,S,44.9
PI470930,S,40.9
PI506806,S,41.5
PI506983,S,45.4
PI507024,S,41.5
PI507096,S,41.6
PI507203,S,42.2
PI548424,,39.3
PI548458,MS,43.8
PI561379B,,43.6
PI567147C,,48
PI587909,,
PI593984,,44
PI594023A,,39.6
PI594767B,,
PI594869,,
PI603539C,,45.8
PI605805A,,47.3
PI606423,,
PI636000,,
PI165671,S,44.8
PI208203,S,45.4
PI228056,S,44.8
PI307899A,,
PI330634,S,44.8
PI340025,S,43.4
PI398779,S,45.7
PI408218,S,49.1
PI416809,MS,46.9
PI416981,S,41.3
PI417109,S,44.5
PI423916,S,
PI506503,S,44.1
PI506626,S,48
PI507117A,S,44.1
PI507159,S,39
PI507326,S,44
PI507402,S,43.6
PI567308,S,46.6
PI567389B,S,43.6
PI587632B,,45.4
PI587931,,
PI588031,,49.4
PI588036,,
PI588050B,,45.8
PI594802D,,48
PI628882,,
PI632655,,
PI171446,S,47.5
PI174868,S,45.5
PI307882F,,
PI398627,MS,45.6
PI417462,S,45.7
PI423971C,,48
PI437719,S,41
PI476931,S,45.7
PI506505,S,42.6
PI507359,S,43.1
PI548456,S,41.5
PI561361,,41.4
PI567111,,51.2
PI567193,,40.3
PI587566A,,45.5
PI587687E,,46.8
PI587846B,,45.3
PI587992C,,50
PI594767A,,
PI605810A,,47.6
PI605886C,,42.2
PI605891A,,47
PI619617,,
PI640433,,
PI208785,S,48.2
PI210349,S,46.8
PI307876B,,
PI377575,S,43.5
PI399121,S,46.7
PI416908,S,42.9
PI417204,S,43.2
PI423915,S,43
PI424166,,48.6
PI437730,S,43.9
PI458236B,S,47.2
PI476930,S,44
PI486331,S,
PI506545,S,43.2
PI506561,S,44.3
PI506844,S,45
PI506851,S,43.6
PI506885,S,41.1
PI507228,S,41.8
PI548975,,45.3
PI567052,,52
PI573188,,
PI578446A,,48.1
PI587836,,39.2
PI594427A,,47.7
PI615447,,
PI192868,S,46.2
PI319531,S,46
PI340029,S,45.3
PI379622,S,44.3
PI398593,MS,55
PI399075,S,43.5
PI407803,S,45.3
PI407901,MS,45
PI408243,S,46.5
PI416760,S,43.3
PI416812,MS,45.2
PI417206,S,44.4
PI458154,S,46.2
PI506817,S,46.2
PI506877,S,43.4
PI506878,S,43.2
PI507057,S,43.2
PI507085,S,44.9
PI507215,S,45.2
PI507251,S,44.1
PI507463,S,42.9
PI507499,S,42.9
PI509097,S,46.5
PI546047,,
PI547727,,
PI548389,S,39.4
PI548496,S,44.2
PI561290,,43.5
PI567256,,48.4
PI567269D,,46.6
PI578463,,49.5
PI587602,,46.8
PI587953,,
PI594792A,,43.8
PI605812,,44.7
PI605845D,,
PI612729,,45
PI307886,S,
PI324068,S,47.2
PI398212,S,44.7
PI398612,S,54.1
PI398794,S,43.6
PI407763,MS,48
PI407864,S,46.1
PI416777,S,42
PI417124,S,46.7
PI417166,S,46.6
PI417208,S,43.7
PI423860,S,45.6
PI424182C,S,45.2
PI424442,S,43.8
PI471938,S,39.4
PI506960,S,45.7
PI507120,S,43.6
PI507335,S,45.3
PI507336,S,45.2
PI507357,S,43.2
PI567103,,51
PI567115C,,47
PI567404F,,45.3
PI567635,S,45.6
PI578471C,,44.1
PI587645,,45.3
PI587919,,
PI587935B,,
PI594509B,,
PI603539A,,44.3
PI603603,,
PI605883,,
PI606394,,
PI606427,,
PI615505,,
PI632944A,,
PI165672,S,47.8
PI200546,S,43.2
PI398460,S,46.2
PI407779,S,49.5
PI408241,S,44.8
PI417156,S,43.9
PI417263,S,41.8
PI417307,S,44.9
PI417369,S,45.6
PI417376,MS,45
PI423921,S,42.9
PI424240,MS,44.5
PI471900,S,52
PI476900,S,46.1
PI506796,S,44.1
PI507043,S,42.4
PI508268,,41.4
PI547786,,
PI548323,S,42.1
PI548423,MS,40.6
PI548429,MS,42.3
PI548487,S,44.5
PI548664,S,41.7
PI567028,,
PI567050,,45.5
PI567056B,,49.9
PI567083D,,55
PI567085B,,51.1
PI567106A,,46
PI567131A,,48
PI587995,,45.4
PI594757,,
PI605821C,,49.7
PI628895,,
PI187155,MS,44.3
PI205911,S,49.5
PI259539,S,45.6
PI360839,S,45.8
PI398488,S,50.8
PI398866,S,47.5
PI399060,MS,49.5
PI399126,S,44.2
PI407737,S,46.6
PI407775,S,48.1
PI407811,S,49.4
PI408267,,44.5
PI416873C,,47.5
PI417146,S,47.2
PI417264,MS,41.9
PI417281,S,44.5
PI417347,S,46.3
PI423821,S,45.8
PI423861,S,47.2
PI423911,MS,44
PI424309B,S,46.1
PI468968,S,45
PI482600,S,40
PI506746,S,47
PI506981,S,42.1
PI507012,S,46.3
PI507218,S,40.9
PI507498,S,42.1
PI538408,,42.5
PI548313,S,39.6
PI548457,S,45.2
PI548491,S,46.6
PI567025A,,48
PI567095B,,48
PI567115A,,49.3
PI567236,,47
PI567683A,S,47.2
PI587577I,,45.7
PI587701,,46.2
PI587712B,,45.6
PI594530,,
PI594560C,,
PI594828B,,44.6
PI605777,,46.5
PI606428,,44.2
PI613559A,,
PI628857,,
PI180051,S,43.5
PI200452,S,49.8
PI229320,MS,44.4
PI309658,S,43.8
PI393547,MS,44.5
PI398434,S,48.3
PI398543,S,47.8
PI398598,S,45.5
PI398661,S,46.1
PI398733,S,49.4
PI398777,,45.3
PI398784,MS,46.5
PI398863,S,42.4
PI399118,S,46.2
PI407771,S,46.6
PI416937,S,47.1
PI417223,MS,46.3
PI417483,S,45.7
PI417492,S,41.5
PI424164B,S,43
PI424212,S,45
PI424445,S,44.8
PI506471,S,45.3
PI507099,S,43.9
PI507114,S,42.2
PI507275,S,44.2
PI507340,S,48.3
PI507482,S,42.4
PI507518,S,45
PI547735,,
PI547741,,42.74
PI567130A,,
PI567394C,S,47.9
PI567439,S,46.2
PI587597B,,46.6
PI587898,,46.2
PI594733,,
PI603521,,43.7
PI605844A,,
PI181545,MS,43.1
PI196177,MS,45.2
PI200449,S,44.7
PI200461,S,47.3
PI281899B,,
PI393565A,,
PI398323,S,47.8
PI398589,S,56.3
PI398827,S,43
PI408247,,48
PI416980,S,45.2
PI417258,S,44.4
PI417360,S,42.4
PI417442,S,42
PI423852,S,47.2
PI424156B,S,45.5
PI424337-2,MS,43.1
PI424451,S,42.4
PI458218,S,43.4
PI504495,S,46
PI506695,S,44.4
PI507014,S,43.1
PI507030,S,44.2
PI507044,S,45
PI507136,S,44.4
PI507388,S,42.3
PI507409,S,40.2
PI507503,S,45.6
PI548435,,43.3
PI567029A,,47.1
PI567043B,,46
PI567098A,,48.3
PI578306B,,47.4
PI578314,,46.2
PI587835,,43.8
PI587988B,,48
PI593999A,,46.4
PI594500D,,47.8
PI594536,,45.9
PI606369A,,46.1
PI148259,S,48
PI200492,S,46.1
PI219654,S,45.8
PI229346,MS,44.5
PI281906B,,
PI340902,S,
PI374154,S,44.9
PI398724,S,46.8
PI398925,S,44.3
PI398952,MS,43.4
PI399041,S,49.9
PI408268,S,46.6
PI416881,S,43.8
PI417277,S,51.9
PI417405,S,43.2
PI423840,MS,44.8
PI424448,S,48.3
PI458223,S,45.3
PI506747,S,42.2
PI507194,S,46.2
PI507235,S,42.7
PI507261,S,42.5
PI507324,S,41.9
PI547708,,
PI547758,,
PI548985,S,44.3
PI566988B,,53
PI567058C,,48
PI567120,,50.4
PI567124,,49.4
PI567392,S,46.1
PI578317,,47.3
PI578466,,
PI587646,,46.7
PI587648,,50.9
PI587996D,,47.7
PI593989,,43.5
PI594487,,48.7
PI594522,,
PI594776,,45.3
PI603540B,,47.3
PI614154,,42.3
PI615451B,,
PI200477,S,54.2
PI210178,S,44.4
PI398876,S,46.4
PI399055,S,45.6
PI399056,S,41.8
PI399058,S,46.1
PI399120,MS,45.3
PI408003-1,S,46.4
PI417224,MS,44.8
PI417290,S,46.3
PI417330,S,44.9
PI424312,S,43
PI476904,S,45
PI486330,S,46
PI506629,S,44.8
PI507052,S,42.4
PI507346,S,43.7
PI539861,,43.4
PI548419,S,41.4
PI548444,S,49.3
PI566958,,
PI567068B,,
PI567095A,,46.6
PI567206,,47
PI567400,S,46.3
PI587711,,45.4
PI587928,,
PI594514,,
PI603513B,,44.7
PI603740B,,
PI606413,,
PI606420,,46.7
PI181565,S,45.4
PI189402,S,51.4
PI200448,S,45.3
PI209333,S,44.1
PI227557,MS,42.3
PI340019,S,47.8
PI376844,MS,44.3
PI399114,S,48.5
PI407824,S,48.5
PI407839-2,S,49.1
PI407878,S,46.1
PI407962-2,S,44.9
PI417063,MS,45.2
PI417266,S,43.7
PI417288,S,44.7
PI424172C,S,44.7
PI424446,S,45.3
PI434979,S,46
PI506811,S,44
PI507018,S,39.6
PI507121,S,41.8
PI507156,S,42.5
PI507236,S,43.5
PI507263,S,50.4
PI567137B,,52
PI567234C,,45.5
PI587776,,45.6
PI587951B,,
PI593993A,,47.2
PI594510B,,44.2
PI594753C,,50.4
PI603507,,42.1
PI603740A,,
PI606402,,
PI612730,,39.8
PI615483,,
PI628893,,
PI629014,,
PI204333,S,48.1
PI215755,S,44.1
PI240662A,,
PI339864B,S,44.1
PI398556,S,45
PI398610,S,51.7
PI398836,MS,50.7
PI399100,S,47.6
PI416767,S,42.2
PI417136,S,46.5
PI417387,S,42.9
PI417408,MS,43.8
PI423958,S,46.9
PI424290,S,44.5
PI459025A,,
PI476928,S,47
PI481691,,
PI506585B,S,45.6
PI507050,S,41.7
PI507128,S,42.3
PI507287,S,45.4
PI548593,S,39.8
PI548974,,42.2
PI567011B,,51
PI567077A,,
PI567127A,,51
PI567384,S,45.6
PI587641B,,43.8
PI587939,,
PI587963,,
PI588004,,46.5
PI588049,,
PI594534,,
PI603538B,,47.9
PI606382A,,46
PI615452,,
PI615456,,
PI628834,,
PI632666,,
PI145079,S,43.9
PI197182,S,47.8
PI203406,S,51.6
PI307872C,,
PI307883,S,
PI374163,S,45.2
PI399053,S,44.3
PI407744,S,45.8
PI407946-1,S,44.7
PI407987,,49.2
PI408043,S,45.3
PI408096,S,49.2
PI408191B,S,42.3
PI416982,S,43.3
PI417212,S,42
PI423981,S,42.5
PI424182B,MS,43.8
PI424447,S,42.7
PI430600C,S,46.5
PI458212,MS,43.7
PI476934,S,48
PI506754,S,43.3
PI507476,,40.7
PI507485,S,41
PI507551,S,41.9
PI547509,,
PI547736,,
PI547746,,
PI547866,,
PI548493,S,44.8
PI548495,S,44.9
PI567108D,,46
PI567404D,,47.7
PI584441,,41
PI587608B,,46.3
PI587638,,41.8
PI593949B,,40.8
PI594730B,,
PI603523,,47.7
PI603532,,46
PI605846E,,46.5
PI605865B,,46.8
PI605877E,,48.4
PI157478,S,44.1
PI181562,S,41.6
PI200494,S,45.2
PI374184,S,45.3
PI398703,S,48.3
PI398853,S,45.9
PI398951,S,45.1
PI423759,S,45.2
PI424146,S,42.1
PI424176,S,47.1
PI506735B,S,42.3
PI507377,S,43.7
PI548310,S,41.5
PI566970C,,
PI567020A,,46.6
PI567142,,53
PI567269B,,47.3
PI587606B,,47.4
PI587610,,
PI587642B,,46.5
PI587657,,47.1
PI587686B,,46.5
PI587694,,45.7
PI587753A,,42.4
PI587831,,45.1
PI592903,,43.2
PI594511C,,42.3
PI594806,,44.4
PI594885A,,45.7
PI603732B,,47.1
PI605844B,,
PI605874B,,
PI610670,,41.3
PI208432,S,43.8
PI208788,S,45.8
PI307874,S,
PI398611,S,46.7
PI398895,S,43.8
PI399059,MS,48.8
PI407830,S,48.6
PI408055D,S,45.9
PI408239,S,46.2
PI416873A,,44
PI417215,S,43.6
PI417416,S,44.1
PI424526,S,44.9
PI476909,S,
PI506501,S,44.8
PI506541,S,46.2
PI506822,S,42.4
PI507140,S,44
PI507301,S,43.4
PI507562,S,45.9
PI518285,S,
PI547535,,
PI547756,,41.14
PI566983,,52
PI567054C,,45
PI567379C,MS,45.9
PI567410B,,46.9
PI567657,S,42.8
PI567764,,44.4
PI578452,,
PI578464A,,
PI587633D,,46.8
PI588018,,49.4
PI594570A,,49.6
PI594852B,,
PI603785,,46.8
PI615695,,44.2
PI628825,,
PI181698,S,48.4
PI227224,S,44.2
PI285089,S,
PI340031B,MS,43.9
PI398253,S,44.6
PI398783,,46.5
PI407857,MS,47.7
PI416825A,,
PI417390,S,45.9
PI417470,S,44.5
PI437591,S,48.5
PI458225,S,44.5
PI506902,S,44.2
PI507036,S,42.5
PI507247,S,45.5
PI507371,S,45.2
PI507453,,42.7
PI507557,S,43.5
PI546049,,
PI548420,,47
PI567093A,,49.6
PI567393,,46.5
PI567650D,,42.6
PI567682A,,44.8
PI587556B,,45.3
PI588045,,
PI603509,,45.1
PI603512,,
PI605806B,,47.1
PI605876D,,45.5
PI605891B,,45.5
PI196175,MS,53.1
PI200509,S,45
PI255734,S,47.8
PI374169,S,44.5
PI398552,MS,43.1
PI398770,S,45.9
PI398851,S,45.2
PI399026,S,44.4
PI407995,S,46
PI416826A,,
PI417164,S,44.1
PI417342,S,48.5
PI417440,S,46.4
PI424601,MS,44.2
PI476890,S,46.8
PI476920,S,46.4
PI506551,S,42.6
PI506891,S,40.5
PI507041,S,44.2
PI507298,S,44
PI507427,,43.7
PI553040,,43.6
PI566980B,,46
PI567075A,,
PI567092B,,
PI567129,,52
PI567131C,,48
PI567145C,,50
PI567394B,S,47.5
PI567403B,,46.5
PI587577F,,44.8
PI587698B,,44.5
PI587800,,44.6
PI587832,,
PI587916A,,
PI594832A,,42.1
PI594844,,47.2
PI603737A,,44.6
PI613562,,
PI230978,S,45.1
PI398534,S,44
PI407825,S,50.5
PI408123,S,47.3
PI416820,S,43.4
PI416922,S,47.7
PI417322,MS,48.6
PI417466,S,41.2
PI476908,S,46.7
PI476921,S,45.2
PI506494,S,44
PI506598,S,42.1
PI506667,S,44.3
PI506969,S,45
PI507068,S,44.6
PI507116,S,43.7
PI507260,S,44.2
PI547808,,
PI548334,S,42.5
PI567041B,,53
PI567041C,,48
PI567049A,,47.2
PI567122A,,47.8
PI567144B,,50
PI578329A,,41.6
PI587608C,,44.6
PI587612C,,46.4
PI587774,,46.2
PI593990,,43.6
PI594191,,44.8
PI594267,,44.2
PI602453,,
PI605767A,,
PI605865A,,46.9
PI171440,S,48.2
PI219789,S,42.8
PI340024,S,45.2
PI341256B,,51
PI346301,MS,49
PI398861,S,50.1
PI408022,,45.7
PI408253,S,45.3
PI416798,S,43.5
PI416895,S,42
PI417123,S,45.2
PI417356,MS,41.9
PI417359,S,52.4
PI423857,S,44.9
PI506963,S,44.1
PI507305,S,41.9
PI507389,,45.7
PI507450,S,46.5
PI548431,S,44.9
PI548657,S,41.9
PI566966A,,42
PI567117A,,51.2
PI567340,S,47.1
PI567691,MS,47.5
PI587553A,,45.6
PI587600C,,46.9
PI587792,,46.2
PI587844B,,46.4
PI587934,,
PI603168,,48.5
PI615509A,,
PI205913,S,46
PI281899C,,
PI284816B,,
PI307838B,,
PI312222,S,43.4
PI393542,S,45.3
PI399057,S,46.1
PI408053,S,43.9
PI408163,S,43.7
PI408204,S,49.1
PI416874A,,45.9
PI417377,S,45.9
PI417395,S,45.1
PI423965,S,45.3
PI438284,S,47.2
PI438426,S,47.1
PI506538,S,45
PI506546,S,44
PI506547,S,45.3
PI506625,S,45.7
PI506738,S,41.7
PI506933,MS,43.7
PI507003,S,45.1
PI507288,S,42.4
PI547698,,
PI548303,S,43.7
PI548307,S,42.6
PI548387,,45.8
PI567352C,S,43.4
PI578058,,
PI587577C,,48.6
PI587730A,,
PI587821B,,49.1
PI588008D,,44.9
PI592914,,46.7
PI594225A,,43.8
PI594803A,,48.9
PI594846,,
PI605782,,
PI605857B,,46.7
PI606443,,
PI632944B,,
PI159926,S,43.1
PI203402,S,45.4
PI205909,S,46.5
PI247679,S,45.6
PI281896E,,
PI281909,S,
PI407843,MS,50
PI408094-1,S,45.4
PI408208,MS,45.1
PI408278,S,46.9
PI408294B,S,46.3
PI417016,S,41.5
PI424394,MS,47.1
PI424404,S,47.4
PI476901,S,44.1
PI476932,S,44.6
PI506984,S,43.1
PI507056,S,42.7
PI507269,S,44
PI507489,S,41.5
PI548337,S,45.9
PI561271,,48.1
PI567059,,44.9
PI567145A,,51.8
PI567382C,S,44.1
PI567399,S,44.8
PI587689,,46.5
PI587733,,46.3
PI587735,,46.1
PI594810A,,45.6
PI594810B,,46.4
PI603618,,49.5
PI603634,,48.8
PI605890A,,43.6
PI606411,,48.6
PI606439,,
PI208437,S,48.5
PI339979,S,42.5
PI398186,S,47.5
PI398525,MS,44.6
PI398539,S,43.2
PI398828,MS,42.9
PI399098,MS,46.7
PI407802,,47
PI416886,S,42.7
PI417157,S,45.2
PI423847,MS,43.7
PI423924,S,44.6
PI424157A,S,44.9
PI458130,S,48.1
PI476892,S,44.1
PI506536,S,42.4
PI506682,S,42.2
PI507292,S,41.8
PI547867,,
PI548357,,41.7
PI567058A,,49.7
PI567096,,51
PI567396D,S,48.2
PI567404E,,45
PI567693,,49.8
PI587644,,46.5
PI594730A,,
PI594772B,,
PI605829,,47.3
PI615478,,
PI628859,,
PI164885,S,47.1
PI165673,S,51.5
PI181561,S,43.4
PI200475,S,45
PI200498,S,45.1
PI204332,S,47.8
PI205912,S,48.5
PI281896G,,
PI324190,S,46.3
PI398196,MS,47.7
PI398835,MS,46
PI399095,S,46.4
PI416811,S,39.9
PI416957,S,46.5
PI417403,S,41.9
PI424170,S,48.3
PI424185,S,44.4
PI424415,S,46.4
PI424480,S,43.7
PI506904,S,43.4
PI507055,S,41.3
PI549021B,,42.3
PI567057,,
PI567062,,46.8
PI567126,,46
PI587880B,,46.4
PI594831,,45
PI603514,,45.8
PI628829,,
PI200549,S,43.2
PI208433,S,44.7
PI221973,S,41.2
PI310439,S,43.8
PI398760,MS,46.8
PI407790-2,S,47.9
PI407839-1,S,50.6
PI407990,S,46.7
PI408192-2,,46.9
PI416758,S,47.5
PI417047,S,46.5
PI417284,S,42
PI417332,S,44.1
PI417366,S,42.5
PI424333,MS,45.2
PI424371,S,45.9
PI476885,S,47
PI506579,S,45.6
PI506607,S,47.3
PI506745,S,42.7
PI506907,S,42.1
PI506922,S,43.6
PI506986,S,44.5
PI507118,S,43.4
PI507507,S,44
PI567070B,,47.6
PI567097A,,49.8
PI567185,,43.2
PI567680,,46.1
PI587879,,46
PI587902B,,
PI587965,,
PI594416,,44.7
PI594447,,46.2
PI594720,,
PI603642,,41.9
PI174857,S,45
PI210179,S,47.1
PI281902,S,
PI339992,MS,44.5
PI393550,MS,46.2
PI407801,,48.8
PI408083B,S,49.9
PI416765,S,45.3
PI416804,MS,45.6
PI417252,S,43.6
PI417308,S,46.2
PI417372,S,43.4
PI424393,S,47.9
PI476894,S,43.6
PI506535,S,43
PI506582,S,43
PI506736,S,43.1
PI506939,S,47
PI507006,S,45.3
PI507035,S,45.7
PI507084,S,43.9
PI507234,S,43.3
PI507279,S,41.2
PI507495,S,42.6
PI547697,,
PI548460,MS,44.8
PI567382B,MS,45.3
PI567744C,,46.4
PI572242,,37.9
PI587647B,,47.5
PI587985B,,46.6
PI594450,,50.8
PI594623,,43.3
PI594841A,,46.1
PI595645,,44.5
PI632639B,,
PI632640A,,
PI181697,S,45.1
PI393543,MS,41.7
PI398449,MS,47.7
PI407759,S,46.5
PI408044,S,45.3
PI416970,S,
PI417106,S,43.3
PI417410,MS,43.2
PI417472D,,47
PI424325,MS,50.9
PI458261,MS,44.7
PI506552,,45
PI506565,S,43.5
PI506597,S,41.8
PI506748,S,44.9
PI507394,S,43.1
PI548358,S,41.5
PI567000A,,45.2
PI567381B,S,45.4
PI567396C,MS,43.3
PI567403A,,45
PI587649,,44.9
PI587956,,
PI594711A,,44.8
PI594793,,46.5
PI605828C,,49.7
PI628887,,
PI171439,S,44.2
PI181696,S,44.3
PI200488,S,46.3
PI205902,S,49
PI208431,S,43.4
PI398195,S,43.5
PI398524,S,44.3
PI399050,MS,48.2
PI407742,,46.3
PI407762,S,47.7
PI407940,,51
PI408176,S,45.4
PI408332B,S,49.2
PI471929B,,
PI471937,S,49
PI506509,S,43
PI506845,S,42.4
PI506886,S,44.1
PI548416,MS,39.1
PI566998A,,50.9
PI587565C,,45.6
PI587588B,,45.8
PI587592A,,45.7
PI587998F,,50
PI594549A,,48.7
PI594554,,
PI594888,,42.5
PI603182,,
PI605885B,,46.8
PI606373,,
PI606416B,,
PI632640B,,
PI165896,S,48.1
PI175184,S,46.4
PI245008,S,51.2
PI284814,S,43.9
PI398613,S,52
PI398679,S,47.6
PI398874,MS,47.8
PI407842,S,49.5
PI415701B,,
PI416962,S,46.7
PI417036,S,44.4
PI417352,S,41
PI423879,S,46.8
PI424172B,S,51
PI424398,S,44.3
PI424473,S,48
PI506776,S,44.1
PI506807,S,46
PI506953,S,43.1
PI507393,,42.4
PI567088A,,51.3
PI567114,,49.9
PI567411,MS,48.5
PI567441C,MS,41.9
PI578246,,
PI588024A,,47
PI591537,,
PI594835B,,48
PI603635,,45.7
PI606401,,
PI615498,,
PI628847,,
PI133226,S,47.7
PI200464,S,45.1
PI215688,S,
PI240666,S,45.2
PI374173,S,45.3
PI399083,S,48
PI407807,MS,48.6
PI417406,S,43.2
PI506696,S,46.2
PI507146,S,47
PI507410,S,41.7
PI507572,S,43.7
PI548414,MS,52.2
PI567025B,,56
PI567053,,47
PI567763,,44.5
PI587558A,,43.7
PI587563B,,44
PI587634A,,48.8
PI587797,,47.6
PI587952,,
PI587992F,,49.2
PI594809A,,46.8
PI603539B,,43.5
PI605830B,,50.7
PI628886,,
PI632933,,
PI632942B,,
PI181546,S,40.6
PI181559,MS,42
PI200529,S,43.8
PI227221,S,43.7
PI307860,S,
PI340901,S,
PI374182,S,45.4
PI374183,S,45.7
PI407789,S,48.1
PI407813,S,49.3
PI408188,S,45.4
PI424378,S,49.5
PI441381,S,44.9
PI458214,S,45.2
PI476879,S,40.6
PI506550A,S,42.3
PI507111,S,44.4
PI507124,S,39.6
PI509103,S,42.5
PI548382,MS,43.1
PI548650,,46.7
PI567060B,,46.1
PI567112,,46
PI567231,,47.2
PI587650,,45.1
PI587962,,
PI594854,,45.2
PI605896C,,45.8
PI157444,,40.7
PI181558,,41.1
PI200446,MS,43.1
PI229335,MS,43
PI265497,S,46.1
PI331795,S,44.7
PI374171,S,46.3
PI399067,S,48.8
PI407941B,,44.5
PI417271,S,41.7
PI417419,S,42.7
PI423723,S,46.7
PI424416,S,45.4
PI445682,S,
PI507356,S,42.1
PI518291B,S,47
PI548317,,40
PI566963,,
PI567072B,,47.8
PI567404C,MS,46.3
PI578324A,,47.8
PI587591,,45.8
PI587611,,
PI593987,,44.6
PI594473,,53.5
PI594474,,52.5
PI594852C,,
PI606438B,,
PI203398,S,52.2
PI281890A,,
PI340001,S,44
PI398882,S,42.8
PI408049,S,45.5
PI408117,S,49.3
PI408147,S,43.4
PI417105,S,41.2
PI417119,S,48.3
PI506508,S,46.6
PI506544,S,44.7
PI506915,S,42.1
PI506990,S,45.3
PI518728,S,44.9
PI539865,,48.7
PI547689,,
PI548301,S,41.6
PI567270B,,48.7
PI587550B,,47.5
PI587864A,,45.1
PI594636,,45
PI594787,,
PI200445,S,45.1
PI200497,S,42.6
PI319530,S,47.1
PI368039,S,46.9
PI398428,S,51.2
PI398595,S,53.7
PI399103,S,50.2
PI408293-2,S,48.2
PI416969,S,42.2
PI506645,S,45.2
PI507117B,S,43.6
PI507513,,
PI547668,,
PI567037,,46
PI567077B,,52
PI587580A,,46.8
PI588007B,,47.1
PI594415B,,49.5
PI594867,,42.3
PI603757B,,46.7
PI605846D,,
PI181543,S,41.6
PI224268,S,45.9
PI239237,S,44.6
PI307897,S,
PI346309,MS,44.8
PI379623,S,44.1
PI408213,MS,44.4
PI417011,S,45.2
PI417267,S,42.6
PI417464,MS,43.9
PI417498,S,
PI424365,MS,51.2
PI424457,S,44.4
PI436568,S,45
PI471943B,,43
PI476895,S,43.4
PI506749,S,45.9
PI506772,S,44.9
PI506893,S,43.3
PI506946,S,46.5
PI507509B,,
PI518726,S,46.2
PI567035B,,47.7
PI567073B,,50.4
PI593995B,,45.2
PI594538B,,
PI594705,,49.2
PI222546,S,47
PI281910,MS,
PI307872B,,
PI319527,S,43.7
PI398966,S,45.2
PI416754,S,44
PI416813,MS,42
PI417013,S,49.4
PI417049,S,
PI417253,S,41.8
PI417335,MS,43.2
PI424142,S,43.9
PI506537,S,41.4
PI506936,S,47.2
PI507358,S,45.2
PI507496,S,42.8
PI533602,,43.9
PI567034,,45.7
PI567104B,,49
PI587777,,48.6
PI594591B,,50.9
PI603609,,46
PI606367,,46.9
